Título,Link,Endereço,Especificações,Observações,Preço,Metrô mais próximo,Metrõ mais Rapido,Distancia,Duração
Spazio Amarelo Excelente Condominio,/propriedades/spazio-amarelo-excelente-condominio-2948051352.html,"Rua Antonio Ambuba, 110, Vila Prel, São Paulo",79 m² área total 46 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Apto com 2 dormitorios, sala 2 ambientes, cozinha, area de serviço, banheiro 1vaga. Condominio com toda infraeestrutura de um clube, taxa condominial de R$ 310. Use seu fgts",R$ 230.000,Campo Limpo,Campo Limpo,1944,1944
Apartamento na Região Do Bom Retiro,/propriedades/apartamento-na-regiao-do-bom-retiro-2945495947.html,"Bandeirantes , Bom Retiro, São Paulo",120 m² área total 120 m² área útil 2 Quartos 1 Banheiro,Apartamento na região do Bom Retiro. 120 m² 2 dormitórios. Necessita de Reforma. Próximo ao metro Tiradentes e a Av. Tiradentes. Informações de condomínio e iptu sujeitas a alteração. (Ao ligar informe o código do imóvel Ver dados).,R$ 320.000,Portuguesa Tiete,Tiradentes,1823,2261
"Flat Próx Parque Ibirapuera, Aeroporto Congonhas, para Investimento em Moema.",/propriedades/flat-prox-parque-ibirapuera-aeroporto-congonhas-para-2946444327.html,"Avenida Ibirapuera, 2534, Moema, São Paulo",63 m² área total 31 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Meliá Ibirapuera está situado na Av. Ibirapuera, uma importante Avenida do Bairro de Moema. O Hotel Conta com os seguintes serviços: - Piscina Aquecida. - Restaurante. - Conexão gratuita à internet (Wi-Fi) em todo o Hotel. - Serviço de lavanderia e passadoria (*) - Estacionamento com manobrista (*) Está a poucos minutos dos principais centros financeiro da cidade como a famosa Avenida Paulista e região da Av Luis Carlos Berrini, além da possibilidade de ir caminhando até o Shopping Ibirapuera. Isso sem contar na proximidade com o Parque do Ibirapuera o maior parque da América do Sul e do Aeroporto de Congonhas. Seja viagem de negócios ou lazer, o hotel dispõe de infraestrutura completa para uma experiência inesquecível. Conheça o Meliá Ibirapuera e se apaixone por São Paulo. Flat/Condo Hotel com excelente rentabilidade no investimento no sistema pool, gerando os melhores rendimentos do mercado e valorização do seu imóvel. Solicite os rendimentos e comprove a rentabilidade conosco. A Só Flats é uma empresa especializada em compra e venda de Flats dentro e fora da cidade de São Paulo, para moradia ou investimento. Não deixe de nos consultar. Sujeito à confirmação de disponibilidade e valores, sem aviso prévio",R$ 280.000,Moema,Moema,901,901
Apartamentos no Sacomã Sp - Anchieta 580,/propriedades/apartamentos-no-sacoma-sp-anchieta-580-2944318362.html,"Via Anchieta, 580, Sacomã, São Paulo",4 unidades 1 a 2 quartos 32 a 39 m² área útil,"Apartamentos a venda no Sacomã - sp, com 1 e 2 quartos. Obras iniciadas! Lançamento. A 5 minutos do Metrô Sacomã, Terminal de ônibus e Expresso Tiradentes, colado ao bairro Moinho Velho. Projeto arquitetônico contemporâneo, plantas diferenciadas e várias opções de lazer e conveniência, com amplo comércio e serviços na região. Duas torres, 1 ou 2 dorms, sala 2 ambientes, cozinha e área de serviço, terraço. Edifício garagem, unidades com ou sem vaga. Lazer entregue equipado: Salão de Festas, Churrasqueira, Brinquedoteca, Fitness. Infraestrutura: Home office, bicicletário e vagas para motos. Financiamento cef, com a menor taxa de juros do mercado pelo programa Minha Casa Minha Vida! Escritura grátis. Corretores experientes, equipe própria. Venha conversar com a gente e adquira sua unidade. Visite decorado. Creci 26. 514-J","A partir de
R$ 164.220",Sacoma,Sacoma,705,705
Apartamento A Venda em São Paulo,/propriedades/apartamento-a-venda-em-sao-paulo-2948267088.html,"Avenida Nove de Julho 656, Consolação, São Paulo",32 m² área total 32 m² área útil 1 Quarto 1 Banheiro,"Apartamento a venda em São Paulo à venda na Avenida Nove de Julho, Consolação - São Paulo, sp. Preço: R$ Ver dados. 00. iptu/Ano: R$ 0. 00. Preço/m²: R$ 7343. 75. Condomínio: R$ 280. 00. Sobre o Imóvel: * Área 32 m² * Quartos: 1. * Banheiros: 1. * Vagas na garagem: 0. * Andar: 9. * Distância do metrô: 676 metros. * Elevador no prédio: Sim. * Infraestrutura: - Salão De Festas. . * Diferenciais: - Armário Na Cozinha. - Piso De madeira. - Banheiro Com Box. - Armário no Banheiro. - Piso Frio. . * Detalhes: - Portaria: Portaria 24 Horas. - Total de andares: 21. - Aptos por andar: 6. - Orientação: Frente. - Sol: Manhã Código do imóvel: Ver dados. . Conhece alguém querendo vender um imóvel? Indique para a EmCasa e ganhe dinheiro. Saiba mais em-imoveis",R$ 235.000,Anhangabau,Anhangabau,933,933
Vendo Apto 3 Dorm. Suite 2 Garagens na Vila Madalena,/propriedades/vendo-apto-3-dorm.-suite-2-garagens-na-vila-madalena-2947931309.html,"Sumarezinho, São Paulo",200 m² área total 105 m² área útil 3 Quartos 3 Banheiros 2 Vagas,"Apto totalmente face norte contendo 3 dormitorios, suite, banheiro social, sala para 2 ambientes com sacada, com 105, 00M2 de area util dorimitorios C/ae, cozinha C/ae, despensa, dep, de empregada completa, area de serviço, predio com lazer completo menos piscina, 2 garagens, localizaçao excelente, predio muito bom, 2 aptos por andar, ira ser todo reformado preço R$ 1. 350. 000, 00",R$ 1.350,Vila Madalena,Vila Madalena,1371,1371
Idéia Interlagos Lindo Pronto para Morar 1 Dormitório,/propriedades/ideia-interlagos-lindo-pronto-para-morar-1-dormitorio-2944541979.html,"Interlagos, São Paulo",38 m² área total 38 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Apartamento no Condomínio Idéia com um dormitório 38 metros, 1 vaga, imóvel bonito bem decorado, repleto de armários, varanda envidraçada, cozinha americana, vista livre para o condomínio, lazercompleto com área verde preservada com mais de 8 mil metros quadrados, piscina adulto e infantil, pet place, salão de festas, churrasqueiras, playground, salão de jogos, Home Office, Sauna. Imóvel muito bem localizado poucos metros do Shopping Interlagos, Leroy Merlin, Interlar Interlagos, Cobasi, Carrefour, Makro, Extra Interlagos. . As informações estão sujeitas a alterações. Consulte o corretor responsável.",R$ 260.000,Santo Amaro,Santo Amaro,7686,7686
"Apartamento em Santo Amaro, Sp - Rios Miguel Yunes",/propriedades/apartamento-em-santo-amaro-sp-rios-miguel-yunes-2933750601.html,"Rua Miguel yunes, 351, Santo Amaro, São Paulo",2 unidades 2 a 3 quartos 44 a 58 m² área útil,"Apartamentos em Santo Amaro - São Paulo, com 2 ou 3 quartos. Em Construção! Encante-se com uma região que tem tudo para todos os gostos. Próximo a uma rede de serviços e comércio, como shoppings, restaurantes e colégios, o Rios Miguel Yunes ainda conta com infraestrutura completa de transportes e fácil acesso a importantes vias da cidade, como as avenidas Interlagos, Washington Luís e a Marginal do Rio Pinheiros. Ideal para quem gosta de conforto e diversão perto de casa. Churrasco com os amigos, esconde-esconde com as crianças, mergulho em um dia ensolarado, diversão com o seu pet e até um bom livro sob a sombra das árvores. Com mais de 15 itens de lazer, você e sua família contam com um clube privativo, para que não faltem momentos de diversão e bem-estar. Informações complementares; A intermediação é realizada por Imobiliárias cadastradas, incluindo Evenmob Consultoria de Imóveis Ltda. Creci J-Ver dados, e Evenmob Jardins Consultoria de Imóveis Ltda. - creci J-27137. Qualquer venda estará sujeita ao pagamento do valor correspondente à intermediação imobiliária e as respectivas comissões decorrentes deverão ser suportadas pelo comprador. Valor referente à unidade 56, torre A - bloco B. O produto possui apartamento decorado ou modelo. Deixe o seu contato para agendar uma visita.","A partir de
R$ 365.800",Largo Treze,Largo Treze,5047,5047
Studios De 21 m² - Lazer no Rooftop. A 350 m Do Metrô Republica,/propriedades/studios-de-21-m-sup2--lazer-no-rooftop.-a-350-m-do-2946397183.html,"Rua Bento Freitas 420, República, São Paulo",21 m² área total 21 m² área útil 1 Quarto 1 Banheiro,"Lançamento de Studio a 350 mts do metrô República e a 12 min do metrô Higienópolis Mackenzie e a 200 mts do Terraço Itália. Lazer completo com piscina, academia, lavanderia coletiva, bicicletário, horta, Pet Place, carro compartilhado, bike elétrica compartilhada, coworking, salão de festas, churrasqueira, fitness funcional, lounge e muito mais. Unidades a partir de 180mil a vista e 207 no fluxo!! Agende sua visita e garanta sua unidade. Para maiores entre em contato com o corretor Francatti. Creci/sp: Ver dados",R$ 207.000,Republica,Republica,339,339
"Apartamento A Venda, Parque Novo Mundo, São Paulo, 51 m², 2 Dormitórios, 1 Vaga, Fino Acabamento E L",/propriedades/apartamento-a-venda-parque-novo-mundo-sao-paulo-51-2944306983.html,"Parque Novo Mundo, São Paulo",51 m² área total 51 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Apartamento a Venda, Parque Novo Mundo, São Paulo. Apartamento com 51 m², 2 dormitórios, sala para 2 ambientes, sacada de vidro, cozinha, wc, lavabo, lavanderia, 1 vaga de garagem coberta. Fino acabamento e lazer completo. O Condomínio é composto por 14 andares, sendo 3 por andar, dispõe de 2 elevadores, sauna, sala de cinema, academia, piscina adulto e infantil, salão de festas, pet play, vagas cobertas, zelador e portaria 24 horas. Bem localizado, próximo à bancos e supermercados, atacadão, fácil acesso a Marginal Tiete e Rodovia Presidente Dutra. Documentação ok. aceita financiamento. Instagram @vznimoveis. Ver dados. (11) Ver dados (11) Ver dados. - 31/01/2020",R$ 318.000,Vila Matilde,Penha,4219,5523
